YEAR,MONTH,DAY_OF_MONTH,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED
2024,6,7,WN,CLT,LGA,,-6,0
2024,5,6,DL,ATL,BOS,,,0
2024,8,1,AA,ATL,ORD,15,-16,0
2024,3,20,WN,ATL,ORD,,9,0
2024,6,11,DL,ATL,ORD,-13,,0
2024,12,15,UA,ATL,BOS,,,1
2024,6,1,UA,ATL,DEN,,57,0
2024,11,5,DL,ATL,BOS,,25,0
2024,12,2,AA,CLT,BOS,25,,0
2024,4,28,DL,CLT,MIA,,,1
2024,6,24,UA,CLT,DEN,,,0
2024,11,11,WN,ATL,DFW,7,-3,0
2024,1,28,WN,ATL,LGA,4,55,0
2024,3,10,UA,ATL,DEN,-3,54,0
2024,5,19,UA,ATL,DEN,,,1
2024,12,14,AA,ATL,DEN,,49,0
2024,3,21,UA,CLT,ATL,,,0
2024,9,21,AA,CLT,DFW,-7,-10,0
2024,10,11,DL,CLT,DFW,,-17,0
2024,6,11,AA,ATL,BOS,6,,0
2024,1,3,UA,ATL,BOS,14,,0
2024,10,21,UA,CLT,BOS,6,-9,0
2024,3,7,DL,CLT,DEN,,48,0
2024,11,20,UA,CLT,MIA,15,,0
2024,9,9,UA,ATL,ORD,,,0
2024,3,21,DL,ATL,JFK,,,1
2024,10,5,AA,CLT,DFW,,,0
2024,12,5,DL,CLT,ATL,,43,0
2024,11,12,WN,ATL,DFW,-14,-19,0
2024,11,13,UA,CLT,DFW,,60,0
2024,1,9,AA,ATL,BOS,7,,0
2024,11,9,UA,ATL,DFW,,,1
2024,3,16,UA,CLT,MIA,6,42,0
2024,3,11,WN,CLT,ATL,,,0
2024,3,14,DL,ATL,CLT,-6,,0
2024,3,17,UA,CLT,ORD,10,,0
2024,11,22,WN,ATL,CLT,-3,-16,0
2024,9,20,DL,ATL,JFK,,-12,0
2024,2,16,DL,ATL,CLT,19,49,0
2024,9,12,WN,CLT,DEN,,,1
2024,4,24,AA,ATL,ORD,2,-15,0
2024,9,2,WN,ATL,MIA,,,0
2024,9,11,WN,ATL,BOS,,29,0
2024,7,25,WN,ATL,ORD,25,,0
2024,12,20,WN,CLT,DFW,-10,,0
2024,12,18,UA,ATL,DEN,21,,0
2024,9,11,WN,CLT,BOS,,,0
2024,10,22,UA,CLT,DFW,,,1
2024,5,9,WN,ATL,LGA,-6,,0
2024,9,7,DL,ATL,DFW,,2,0
2024,6,13,UA,ATL,JFK,,,0
2024,6,22,UA,ATL,JFK,,,0
2024,11,16,DL,CLT,ATL,,46,0
2024,10,12,UA,ATL,MIA,-3,,0
2024,1,19,DL,ATL,MIA,,,1
2024,5,8,UA,ATL,JFK,16,5,0
2024,7,26,UA,ATL,CLT,,,0
2024,7,14,UA,ATL,DFW,22,59,0
2024,12,19,UA,CLT,DFW,-11,,0
2024,7,17,WN,ATL,CLT,,,0
2024,7,16,DL,CLT,LGA,-7,9,0
2024,7,18,AA,ATL,DEN,14,-9,0
2024,2,19,AA,CLT,LGA,,-13,0
2024,12,11,WN,CLT,BOS,,-14,0
2024,6,11,DL,CLT,ORD,,,1
2024,5,17,UA,CLT,DEN,,,0
2024,11,2,UA,ATL,DFW,,19,0
2024,3,2,DL,ATL,LGA,22,,0
2024,4,15,AA,ATL,CLT,,,0
2024,4,26,WN,ATL,DFW,,,0
2024,4,7,AA,CLT,BOS,-8,-3,0
2024,10,16,DL,CLT,ORD,3,48,0
2024,3,25,DL,CLT,LGA,-10,33,0
2024,11,27,UA,ATL,BOS,-12,-15,0
2024,8,10,DL,ATL,ORD,,50,0
2024,3,26,DL,ATL,CLT,,8,0
2024,4,15,DL,CLT,BOS,10,,0
2024,2,22,DL,CLT,MIA,,-9,0
2024,8,9,UA,CLT,DFW,2,,0
2024,1,19,AA,CLT,DEN,,-14,0
2024,6,12,WN,ATL,DFW,8,,0
2024,2,24,WN,CLT,JFK,,39,0
2024,1,2,AA,ATL,ORD,7,27,0
2024,6,6,AA,ATL,CLT,,,0
2024,2,4,DL,CLT,ORD,19,,0
2024,4,6,AA,ATL,DEN,,,1
2024,5,13,DL,CLT,DFW,19,-8,0
2024,2,2,WN,CLT,DFW,-5,13,0
2024,7,13,AA,ATL,JFK,22,9,0
2024,10,25,AA,CLT,JFK,-9,7,0
2024,5,11,AA,ATL,ORD,,-16,0
2024,4,5,DL,CLT,DEN,-2,,0
2024,12,3,AA,ATL,CLT,6,57,0
2024,4,28,AA,ATL,BOS,7,,0
2024,3,9,UA,CLT,LGA,22,,0
2024,11,26,UA,CLT,JFK,,,1
2024,5,25,DL,CLT,DFW,20,43,0
2024,7,22,WN,ATL,BOS,-10,,0
2024,5,1,UA,ATL,CLT,,,1
2024,8,14,WN,ATL,LGA,19,,0
2024,7,28,WN,CLT,MIA,2,,0
2024,11,18,DL,CLT,DFW,,,0
2024,5,11,DL,ATL,ORD,,,0
2024,6,17,DL,CLT,BOS,-15,-7,0
2024,8,19,UA,ATL,JFK,,,1
2024,12,28,WN,CLT,MIA,,,0
2024,5,12,UA,ATL,CLT,,,1
2024,8,16,UA,CLT,ATL,,,0
2024,9,5,WN,CLT,DEN,,-2,0
2024,10,19,AA,ATL,ORD,2,17,0
2024,7,18,WN,CLT,BOS,,21,0
2024,10,16,AA,ATL,ORD,-12,19,0
2024,11,10,AA,ATL,BOS,8,,0
2024,8,7,UA,ATL,BOS,,,0
2024,7,26,WN,ATL,JFK,,,0
2024,11,6,UA,CLT,ORD,,,0
2024,2,9,WN,ATL,BOS,3,,0
2024,1,2,UA,ATL,DEN,0,50,0
2024,10,22,WN,CLT,MIA,-4,,0
2024,12,27,UA,ATL,BOS,,3,0
2024,9,24,WN,ATL,ORD,,-12,0
2024,10,22,DL,ATL,BOS,2,-1,0
2024,11,28,DL,CLT,MIA,,,0
2024,10,9,AA,ATL,DFW,,,1
2024,5,4,UA,CLT,DEN,18,,0
2024,4,1,WN,CLT,LGA,,55,0
2024,1,18,WN,CLT,LGA,,22,0
2024,4,18,DL,ATL,CLT,-4,,0
2024,7,12,AA,ATL,JFK,,,0
2024,4,22,AA,ATL,DEN,1,41,0
2024,7,15,WN,CLT,DEN,,,0
2024,4,3,AA,ATL,DFW,,,0
2024,12,26,AA,CLT,JFK,11,,0
2024,9,12,DL,ATL,DEN,-13,,0
2024,1,26,WN,CLT,DEN,,,0
2024,2,11,UA,ATL,ORD,,,0
2024,4,12,UA,CLT,DFW,,29,0
2024,7,5,DL,CLT,JFK,,-17,0
2024,2,15,AA,CLT,JFK,,42,0
2024,1,8,DL,ATL,BOS,-9,,0
2024,8,19,WN,CLT,ATL,,,0
2024,12,16,DL,CLT,LGA,-11,9,0
2024,7,19,DL,CLT,DFW,-3,,0
2024,1,13,DL,CLT,ATL,,,1
2024,11,19,WN,ATL,CLT,,-7,0
2024,3,5,DL,ATL,JFK,9,-11,0
2024,9,21,AA,CLT,ATL,,,0
2024,11,1,DL,CLT,ORD,14,-5,0
2024,11,14,AA,CLT,DEN,-10,-8,0
2024,6,9,UA,ATL,MIA,,4,0
2024,2,3,AA,CLT,DFW,,58,0
2024,12,25,AA,CLT,ATL,-14,35,0
2024,3,20,UA,ATL,MIA,,24,0
2024,6,13,AA,CLT,LGA,,15,0
2024,1,14,AA,ATL,DFW,,-20,0
2024,6,26,AA,CLT,JFK,,,0
2024,6,3,AA,ATL,ORD,-12,32,0
2024,11,7,DL,ATL,CLT,12,,0
2024,10,22,DL,ATL,BOS,1,-9,0
2024,11,9,DL,CLT,JFK,4,-12,0
2024,9,1,AA,ATL,JFK,,,0
2024,8,6,AA,ATL,MIA,,,0
2024,6,11,DL,CLT,BOS,-1,,0
2024,11,11,UA,CLT,DFW,-10,,0
2024,11,9,DL,CLT,ORD,,12,0
2024,10,19,DL,CLT,JFK,2,,0
2024,9,24,DL,CLT,DEN,,26,0
2024,9,22,AA,CLT,ORD,9,8,0
2024,4,25,WN,ATL,DFW,,-20,0
2024,2,22,WN,ATL,DFW,,42,0
2024,2,15,WN,CLT,BOS,15,,0
2024,8,2,AA,CLT,JFK,,,0
2024,9,2,AA,CLT,LGA,,-6,0
2024,7,17,AA,CLT,ORD,5,-8,0
2024,8,9,WN,ATL,ORD,,-8,0
2024,5,22,UA,CLT,JFK,,12,0
2024,9,1,AA,ATL,CLT,,57,0
2024,11,12,DL,ATL,DEN,8,9,0
2024,10,15,AA,ATL,DFW,,-3,0
2024,5,24,UA,CLT,JFK,-5,,0
2024,4,3,WN,ATL,LGA,-2,,0
2024,4,10,WN,ATL,DFW,,,1
2024,6,2,WN,CLT,DEN,,0,0
2024,1,5,UA,ATL,LGA,9,13,0
2024,9,4,UA,ATL,ORD,,,1
2024,9,5,UA,CLT,ORD,-5,,0
2024,7,9,DL,CLT,MIA,,,1
2024,12,14,AA,CLT,BOS,,,1
2024,2,1,UA,CLT,MIA,-4,33,0
2024,9,13,UA,CLT,LGA,,46,0
2024,7,3,UA,ATL,ORD,1,,0
2024,9,9,AA,CLT,LGA,5,,0
2024,6,22,DL,ATL,DEN,,-9,0
2024,9,14,WN,CLT,DFW,,,0
2024,3,8,DL,ATL,JFK,,,0
2024,11,3,WN,ATL,DEN,,,0
2024,3,26,WN,CLT,ORD,,50,0
2024,11,8,DL,ATL,MIA,-5,,0
2024,11,25,AA,CLT,ATL,,-17,0
2024,1,27,DL,CLT,DFW,-1,13,0
2024,1,1,AA,CLT,JFK,,,1
2024,3,16,UA,CLT,DEN,,,0
2024,1,3,UA,CLT,MIA,24,13,0
2024,12,11,UA,ATL,ORD,20,,0
2024,7,10,AA,CLT,MIA,15,-12,0
2024,4,26,WN,ATL,DFW,,-3,0
2024,4,19,DL,CLT,LGA,,,0
2024,12,2,AA,CLT,ATL,3,38,0
2024,3,7,UA,ATL,ORD,,,0
2024,7,11,UA,CLT,DEN,,45,0
2024,3,6,DL,ATL,CLT,,,0
2024,2,4,AA,ATL,BOS,1,,0
2024,8,23,WN,ATL,LGA,5,,0
2024,2,21,UA,CLT,ATL,20,,0
2024,11,20,AA,ATL,JFK,,46,0
2024,3,13,AA,CLT,ATL,-7,,0
2024,3,27,WN,CLT,DFW,,26,0
2024,4,15,AA,CLT,MIA,,,1
2024,12,13,WN,CLT,ORD,,30,0
2024,12,26,DL,CLT,LGA,,11,0
2024,5,17,WN,CLT,DEN,6,33,0
2024,1,28,DL,ATL,CLT,1,,0
2024,4,28,UA,ATL,DEN,,,0
2024,5,4,DL,CLT,BOS,21,-14,0
2024,3,27,UA,ATL,DEN,4,,0
2024,11,27,AA,ATL,ORD,-7,,0
2024,6,16,WN,CLT,DEN,-11,,0
2024,1,26,AA,CLT,DEN,,-14,0
2024,8,21,WN,ATL,LGA,,,1
2024,5,21,WN,ATL,DEN,,53,0
2024,10,19,AA,ATL,LGA,-1,,0
2024,9,12,AA,CLT,LGA,12,,0
2024,2,6,UA,ATL,JFK,23,,0
2024,12,14,DL,ATL,JFK,,,1
2024,4,11,UA,ATL,ORD,17,,0
2024,9,26,DL,CLT,ATL,,,1
2024,9,25,AA,ATL,CLT,,,1
2024,4,17,AA,CLT,LGA,,,1
2024,9,7,DL,CLT,LGA,12,,0
2024,10,9,DL,ATL,DFW,14,-9,0
2024,6,23,DL,CLT,MIA,-4,57,0
2024,4,19,AA,ATL,DFW,12,42,0
2024,8,28,AA,CLT,BOS,14,,0
2024,7,25,DL,CLT,DFW,,,0
2024,5,10,DL,CLT,LGA,,,0
2024,3,14,WN,ATL,LGA,,46,0
2024,8,19,DL,CLT,DFW,9,31,0
2024,6,24,WN,ATL,DEN,10,39,0
2024,1,28,WN,ATL,BOS,,,1
2024,10,10,DL,CLT,ORD,,55,0
2024,6,26,DL,ATL,ORD,-7,,0
2024,8,15,WN,ATL,DEN,,,0
2024,11,16,AA,ATL,MIA,,,0
2024,7,3,UA,CLT,MIA,,,0
2024,1,3,DL,CLT,ATL,-7,19,0
2024,4,2,WN,ATL,JFK,-9,50,0
2024,3,14,DL,CLT,LGA,,-9,0
2024,10,5,UA,CLT,JFK,-8,,0
2024,12,23,DL,CLT,LGA,-4,,0
2024,11,7,UA,CLT,BOS,,37,0
2024,8,1,DL,CLT,ORD,7,37,0
2024,8,18,AA,ATL,LGA,,30,0
2024,1,26,DL,ATL,ORD,-5,44,0
2024,6,14,DL,ATL,BOS,15,,0
2024,4,9,DL,CLT,DEN,,,0
2024,3,19,WN,ATL,JFK,-13,34,0
2024,10,14,UA,ATL,CLT,-7,,0
2024,2,20,WN,ATL,MIA,,-8,0
2024,8,27,UA,CLT,JFK,,,0
2024,10,23,UA,ATL,DEN,15,-15,0
2024,11,10,AA,CLT,DEN,9,13,0
2024,8,16,AA,CLT,JFK,-13,,0
2024,12,3,UA,ATL,ORD,,,1
2024,11,27,AA,CLT,MIA,-5,40,0
2024,5,9,AA,CLT,ORD,,,1
